direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,feedback.stopped,stimulusDots.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,goodbye.started,textGoodbye.started,participant,session,expName,frameRate,Unnamed: 86
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0065293329971609,0.0267352919981931,0.0267352919981931,2.9427684170004795,space,2.6705983749998268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-218,1.0,random_dot,,
right,right,0.0,0.0,0.0,right,1.0,0.3805762489973858,,,,,,0.0,0.0,0.0,1.0,,,,,,,,,2.9752506250006263,,,,,,,,,2.9594192919976194,3.752337041998544,4.584223916997871,4.535712041997613,4.536522541999148,4.584223916997871,4.584223916997871,4.584223916997871,4.968918541999301,right,1.0,0.3805762489973858,,4.979028707999532,5.075106874999619,5.474673124997935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-218,1.0,random_dot,,
left,left,1.0,1.0,0.0,right,0.0,2.705021500001749,,,,,,0.0,1.0,1.0,0.0,,,,,,,,,5.484897667000041,,,,,,,,,5.475197916999605,5.808066624998901,6.60066820800057,6.591204374999506,6.591671250000218,6.60066820800057,6.60066820800057,6.60066820800057,9.309230541999568,right,0.0,2.705021500001749,,9.31701108299967,9.339331666997168,9.81864208299885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-218,1.0,random_dot,,
left,left,2.0,0.0,1.0,left,1.0,5.56334683300156,,,,,,1.0,0.0,2.0,0.0,,,,,,,,,9.824300207998022,,,,,,,,,9.819315124997956,10.15804045799814,10.95015408299878,10.941464749997976,10.94203508300052,10.95015408299878,10.95015408299878,10.95015408299878,16.52030591699804,left,1.0,5.56334683300156,,16.52570312500029,16.533992582997598,17.018787499997416,15.934963957999573,17.024361916999624,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-218,1.0,random_dot,,
right,right,3.0,1.0,1.0,right,1.0,1.7748349989997223,,,,,,1.0,1.0,3.0,1.0,,,,,,,,,17.024361916999624,,,,,,,,,17.019396083000174,18.218438542000516,19.01068424999903,19.00211316700006,19.002829458000637,19.01068424999903,19.01068424999903,19.01068424999903,20.795765291997668,right,1.0,1.7748349989997223,,20.795899207998445,20.800995249999687,21.285367041997237,,21.29097641699991,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-218,1.0,random_dot,,
left,left,4.0,0.0,2.0,right,0.0,3.0878964160001487,,,,,,2.0,0.0,4.0,0.0,,,,,,,,,21.29097641699991,,,,,,,,,21.285998749997816,21.39114541699746,22.183453082998312,22.17495808300009,22.17541833299765,22.183453082998312,22.183453082998312,22.183453082998312,25.277156500000277,right,0.0,3.0878964160001487,,25.28088116700019,25.288533291997737,25.77379691699753,,25.78509604200008,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-218,1.0,random_dot,,
right,right,5.0,1.0,2.0,right,1.0,1.0151876240015554,,,,,,2.0,1.0,5.0,1.0,,,,,,,,,25.78509604200008,,,,,,,,,25.77425462499741,25.8743857499976,26.666794499997195,26.65795433299718,26.65839666700049,26.666794499997195,26.666794499997195,26.666794499997195,27.68637654199847,right,1.0,1.0151876240015554,,27.690928416999668,27.6990584999985,28.18549529200027,,28.191139667000243,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-218,1.0,random_dot,,
left,left,6.0,0.0,3.0,left,1.0,1.1013178330031224,,,,,,3.0,0.0,6.0,0.0,,,,,,,,,28.191139667000243,,,,,,,,,28.186120582999138,29.38506445799794,30.1765717499984,30.168746916999226,30.169513958000607,30.1765717499984,30.1765717499984,30.1765717499984,31.286205666998285,left,1.0,1.1013178330031224,,31.286347041997946,31.294164249997262,31.785212416998547,,31.79024520799794,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-218,1.0,random_dot,,
right,right,7.0,1.0,3.0,right,1.0,1.4286330409995571,,,,,,3.0,1.0,7.0,1.0,,,,,,,,,31.79024520799794,,,,,,,,,31.785694082998816,32.98517162499775,33.7771928330003,33.7688954999976,33.769593666998844,33.7771928330003,33.7771928330003,33.7771928330003,35.208837541998946,right,1.0,1.4286330409995571,,35.20897637499729,35.217035582998506,35.70217324999976,,35.70775691699964,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-218,1.0,random_dot,,
right,right,8.0,0.0,4.0,left,0.0,1.124654166000255,,,,,,4.0,0.0,8.0,1.0,,,,,,,,,35.70775691699964,,,,,,,,,35.70280154200009,36.50803429199732,37.30104824999944,37.29109570799847,37.291540041998815,37.30104824999944,37.30104824999944,37.30104824999944,38.43604199999754,left,0.0,1.124654166000255,,38.4400502919998,38.44846549999784,38.93531900000016,,38.9408643329989,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-218,1.0,random_dot,,
left,left,9.0,1.0,4.0,left,1.0,0.9406743330000608,,,,,,4.0,1.0,9.0,0.0,,,,,,,,,38.9408643329989,,,,,,,,,38.93590912499712,39.73522129199773,40.52602570799718,40.51850720799848,40.51908116699997,40.52602570799718,40.52602570799718,40.52602570799718,41.46943024999928,left,1.0,0.9406743330000608,,41.47353041699898,41.48205033299746,41.96890445799727,,41.97452979199807,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-218,1.0,random_dot,,
right,right,10.0,0.0,5.0,left,0.0,1.019219541001803,,,,,,5.0,0.0,10.0,1.0,,,,,,,,,41.97452979199807,,,,,,,,,41.96951654199802,42.76827691699873,43.56024450000041,43.55211404199872,43.55282379200071,43.56024450000041,43.56024450000041,43.56024450000041,44.58594774999801,left,0.0,1.019219541001803,,44.589943249997305,44.59818679199816,45.08539604199905,,45.090824291997706,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-218,1.0,random_dot,,
left,left,11.0,1.0,5.0,left,1.0,1.353173457999219,,,,,,5.0,1.0,11.0,0.0,,,,,,,,,45.090824291997706,,,,,,,,,45.08598824999717,45.17433633299879,45.96834674999991,45.957838207999885,45.9582726669978,45.96834674999991,45.96834674999991,45.96834674999991,47.326404374998674,left,1.0,1.353173457999219,,47.331077625000034,47.33859829199719,47.824385291998624,,47.83504883299975,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-218,1.0,random_dot,,
right,right,12.0,0.0,6.0,left,0.0,5.521438873998704,,,,,,6.0,0.0,12.0,1.0,,,,,,,,,47.83504883299975,,,,,,,,,47.82476716699966,48.17439916699732,48.97631733299932,48.968576416998985,48.9691106249993,48.97631733299932,48.97631733299932,48.97631733299932,54.50308020800003,left,0.0,5.521438873998704,,54.507412457998726,54.51693595799952,55.00223862499843,53.96735041699867,55.00832633299797,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-218,1.0,random_dot,,
left,left,13.0,1.0,6.0,left,1.0,1.0836807490013598,,,,,,6.0,1.0,13.0,0.0,,,,,,,,,55.00832633299797,,,,,,,,,55.00288649999857,55.3518554580005,56.14357579199714,56.1355001669981,56.136195332997886,56.14357579199714,56.14357579199714,56.14357579199714,57.2347232079992,left,1.0,1.0836807490013598,,57.238902417000645,57.2479921669983,57.73522241699902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-218,1.0,random_dot,,
right,right,14.0,0.0,7.0,right,1.0,1.1233040820006863,,,,,,7.0,0.0,14.0,1.0,,,,,,,,,57.7406545829981,,,,,,,,,57.73587874999794,58.92434104199856,59.71680091699818,59.70785987499767,59.70830433299852,59.71680091699818,59.71680091699818,59.71680091699818,60.8433934579989,right,1.0,1.1233040820006863,,60.84353233299771,60.85329220799758,61.34107550000044,,61.35190945800059,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-218,1.0,random_dot,,
left,left,15.0,1.0,7.0,left,1.0,1.9527069159994423,,,,,,7.0,1.0,15.0,0.0,,,,,,,,,61.35190945800059,,,,,,,,,61.341486541998165,61.69126120799774,62.483364249997976,62.47452720799993,62.47506004199749,62.483364249997976,62.483364249997976,62.483364249997976,64.44274216700069,left,1.0,1.9527069159994423,,64.44286866699986,64.45082958299827,64.93554095799846,,64.94086958299886,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-218,1.0,random_dot,,
right,right,16.0,0.0,8.0,left,0.0,1.979708873997879,,,,,,8.0,0.0,16.0,1.0,,,,,,,,,64.94086958299886,,,,,,,,,64.93615379199764,66.14039612499982,66.9352118329989,66.92346291699869,66.92413300000044,66.9352118329989,66.9352118329989,66.9352118329989,68.91922641699784,left,0.0,1.979708873997879,,68.9234599579977,68.9328018749984,69.41901295799835,,69.42471466699863,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-218,1.0,random_dot,,
left,left,17.0,1.0,8.0,left,1.0,5.51841637400139,,,,,,8.0,1.0,17.0,0.0,,,,,,,,,69.42471466699863,,,,,,,,,69.41961512499984,70.6079608330001,71.40002345799803,71.3912648330006,71.3917995419979,71.40002345799803,71.40002345799803,71.40002345799803,76.92391016699912,left,1.0,5.51841637400139,,76.92688649999764,76.95132249999733,77.42497100000037,76.3850443329975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-218,1.0,random_dot,,
left,left,18.0,0.0,9.0,right,0.0,1.488127083001018,,,,,,9.0,0.0,18.0,0.0,,,,,,,,,77.4352429999999,,,,,,,,,77.42543591699723,78.21820925000065,79.01002566699754,79.00217604199861,79.00291424999887,79.01002566699754,79.01002566699754,79.01002566699754,80.50309079199724,right,0.0,1.488127083001018,,80.50854433299901,80.51767691699933,81.00212537499829,,81.00770783299959,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-218,1.0,random_dot,,
right,right,19.0,1.0,9.0,left,0.0,1.1935872489993926,,,,,,9.0,1.0,19.0,1.0,,,,,,,,,81.00770783299959,,,,,,,,,81.00273079199906,81.80176316699726,82.5932955419994,82.5854287919974,82.58614316699823,82.5932955419994,82.5932955419994,82.5932955419994,83.79318683299789,left,0.0,1.1935872489993926,,83.79332158299803,83.80146408300061,84.28552474999742,,84.29329499999949,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-218,1.0,random_dot,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.28575462499794,84.29329499999949,84.29329499999949,85.71942366700023,space,1.3977686660000472,,,,,,,,,,,,,,,,,,,,,,sub-218,1.0,random_dot,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.7195491249986,85.73485833299856,85.73485833299856,87.00359920799747,space,1.2650692489987705,,,,,,,,,,,,,,,sub-218,1.0,random_dot,,
left,left,0.0,0.0,0.0,right,0.0,0.9786269159994844,,accuracy,space,0.8019997909977974,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.85935508299735,,,,,,,,,87.85243524999896,87.93509862499923,88.72624245800034,88.71857662500042,88.71914524999738,88.72624245800034,88.72624245800034,88.72624245800034,89.70824779199756,,,,,,,,,,,,,,,,,,,,,,,,87.02882583300016,87.03680750000058,87.03680750000058,87.84218854199935,space,0.8019997909977974,,right,0.0,0.9786269159994844,,,,sub-218,1.0,random_dot,,
right,right,1.0,1.0,0.0,right,1.0,1.893882707998273,,accuracy,space,0.8019997909977974,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,89.71683249999842,,,,,,,,,89.70876204199885,90.90776145799828,91.70090987499862,91.69102787500016,91.69154574999992,91.70090987499862,91.70090987499862,91.70090987499862,93.60292841699992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.0,1.893882707998273,,,,sub-218,1.0,random_dot,,
