direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,stimulusDots.stopped,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,participant,session,expName,frameRate,Unnamed: 72
,,,,,,,,,,,,,,,,,0.0021805999999742,0.0045583000000988,0.0045583000000988,13.674042699999973,space,27.850395299999946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-214,1.0,random_dot,60.08376879045064,
left,left,,0.0,0.0,0.0,0.0,,,,,,,,,13.698058899999978,,,,,,,,,13.695772300000044,14.488780599999927,15.30500559999996,15.288444300000036,15.28845769999998,15.30500559999996,15.30500559999996,15.30500559999996,20.30008880000014,22.182405300000028,left,1.0,21.04819589999988,,22.183332800000017,22.19795380000005,22.697469200000118,22.68131889999995,,,,,,,,,,,,,,,,,,,,,,,,sub-214,1.0,random_dot,60.08376879045064,
right,right,,0.0,1.0,1.0,1.0,,,,,,,,,22.697469200000118,,,,,,,,,22.68152110000005,23.496866200000117,24.29650650000008,24.279964999999947,24.27998300000013,24.29650650000008,24.29650650000008,24.29650650000008,,25.69683720000012,right,1.0,15.571451799999975,,25.69747770000004,25.711437400000023,26.211065799999915,26.194884,,,,,,,,,,,,,,,,,,,,,,,,sub-214,1.0,random_dot,60.08376879045064,
right,right,,1.0,0.0,2.0,1.0,,,,,,,,,26.211065799999915,,,,,,,,,26.19530280000004,27.409948900000018,28.209360999999944,28.19312459999992,28.193155800000117,28.209360999999944,28.209360999999944,28.209360999999944,,29.75872789999994,right,1.0,15.721013099999936,,29.759036100000003,29.774199800000133,30.273742600000105,30.25766909999993,,,,,,,,,,,,,,,,,,,,,,,,sub-214,1.0,random_dot,60.08376879045064,
left,left,,1.0,1.0,3.0,0.0,,,,,,,,,30.273742600000105,,,,,,,,,30.258084100000133,31.47245829999997,32.27228850000006,32.25543749999997,32.255451400000084,32.27228850000006,32.27228850000006,32.27228850000006,,33.688868500000126,left,1.0,15.590788699999848,,33.68951900000002,33.70393489999992,34.20342830000004,34.18748260000007,,,,,,,,,,,,,,,,,,,,,,,,sub-214,1.0,random_dot,60.08376879045064,
right,right,,2.0,0.0,4.0,1.0,,,,,,,,,34.20342830000004,,,,,,,,,34.187792400000035,34.55321870000012,35.35269970000013,35.33603949999997,35.336050200000045,35.35269970000013,35.35269970000013,35.35269970000013,,36.702902,left,0.0,15.534837499999869,,36.70318969999994,36.71756170000003,37.217457200000126,37.20162120000009,,,,,,,,,,,,,,,,,,,,,,,,sub-214,1.0,random_dot,60.08376879045064,
left,left,,2.0,1.0,5.0,0.0,,,,,,,,,37.217457200000126,,,,,,,,,37.20226350000007,37.56724170000007,38.36644589999992,38.35007420000011,38.35008560000006,38.36644589999992,38.36644589999992,38.36644589999992,,40.68201930000009,right,0.0,16.497786299999916,,40.68227300000012,40.69751210000004,41.19700680000005,41.18093279999994,,,,,,,,,,,,,,,,,,,,,,,,sub-214,1.0,random_dot,60.08376879045064,
left,left,,3.0,0.0,6.0,0.0,,,,,,,,,41.19700680000005,,,,,,,,,41.18150710000009,41.29690810000011,42.09665749999999,42.07986290000008,42.07987520000006,42.09665749999999,42.09665749999999,42.09665749999999,,45.91013700000008,left,1.0,17.98341759999994,,45.91057679999994,45.92588320000005,46.42534079999996,46.40882650000003,,,,,,,,,,,,,,,,,,,,,,,,sub-214,1.0,random_dot,60.08376879045064,
right,right,,3.0,1.0,7.0,1.0,,,,,,,,,46.42534079999996,,,,,,,,,46.409085199999936,46.525156599999946,47.32495560000007,47.308598300000085,47.30862750000006,47.32495560000007,47.32495560000007,47.32495560000007,,48.40802329999997,right,1.0,15.26388739999993,,48.40825760000007,48.423508200000015,48.92289340000002,48.9066358,,,,,,,,,,,,,,,,,,,,,,,,sub-214,1.0,random_dot,60.08376879045064,
left,left,,4.0,0.0,8.0,0.0,,,,,,,,,48.92289340000002,,,,,,,,,48.90689670000006,49.02285720000009,49.82245119999993,49.80671180000013,49.80675059999999,49.82245119999993,49.82245119999993,49.82245119999993,,51.0055926,right,0.0,15.35311929999989,,51.00594550000005,51.020945499999925,51.52047809999999,51.50473570000008,,,,,,,,,,,,,,,,,,,,,,,,sub-214,1.0,random_dot,60.08376879045064,
right,right,,4.0,1.0,9.0,1.0,,,,,,,,,51.52047809999999,,,,,,,,,51.50521830000002,52.31976970000005,53.1194038000001,53.1032325000001,53.103257100000064,53.1194038000001,53.1194038000001,53.1194038000001,,55.301325800000086,left,0.0,16.357630599999993,,55.30203640000013,55.31696170000009,55.81650029999992,55.800245899999936,,,,,,,,,,,,,,,,,,,,,,,,sub-214,1.0,random_dot,60.08376879045064,
right,right,,5.0,0.0,10.0,1.0,,,,,,,,,55.81650029999992,,,,,,,,,55.80048099999999,56.16634270000009,56.98242010000013,56.96565450000003,56.96566830000006,56.98242010000013,56.98242010000013,56.98242010000013,,59.4138739,right,1.0,16.60361419999981,,59.41418580000004,59.429763000000094,59.92943430000014,59.91325630000006,,,,,,,,,,,,,,,,,,,,,,,,sub-214,1.0,random_dot,60.08376879045064,
left,left,,5.0,1.0,11.0,0.0,,,,,,,,,59.92943430000014,,,,,,,,,59.91350720000014,60.27896880000003,61.07855210000002,61.06268449999993,61.06271579999998,61.07855210000002,61.07855210000002,61.07855210000002,,63.14406499999996,left,1.0,16.2471129999999,,63.14458089999994,63.159654400000136,63.65918970000007,63.643377999999984,,,,,,,,,,,,,,,,,,,,,,,,sub-214,1.0,random_dot,60.08376879045064,
right,right,,6.0,0.0,12.0,1.0,,,,,,,,,63.65918970000007,,,,,,,,,63.64377370000011,64.00887880000005,64.80885089999992,64.79200179999998,64.79201230000012,64.80885089999992,64.80885089999992,64.80885089999992,,67.12362740000003,right,1.0,16.48791119999987,,67.12392840000007,67.13918250000006,67.63879380000003,67.62286540000014,,,,,,,,,,,,,,,,,,,,,,,,sub-214,1.0,random_dot,60.08376879045064,
left,left,,6.0,1.0,13.0,0.0,,,,,,,,,67.63879380000003,,,,,,,,,67.62337090000005,68.83762860000002,69.63713819999998,69.62050270000009,69.6205136000001,69.63713819999998,69.63713819999998,69.63713819999998,,71.02016040000012,left,1.0,15.560610099999847,,71.02049110000007,71.03557769999998,71.53538860000003,71.51902289999998,,,,,,,,,,,,,,,,,,,,,,,,sub-214,1.0,random_dot,60.08376879045064,
left,left,,7.0,0.0,14.0,0.0,,,,,,,,,71.53538860000003,,,,,,,,,71.5192591,72.33468280000011,73.13424720000012,73.11750260000008,73.11751580000009,73.13424720000012,73.13424720000012,73.13424720000012,,74.57172689999993,right,0.0,15.607196199999862,,74.57199889999993,74.58234390000007,75.08200099999999,75.06597390000002,,,,,,,,,,,,,,,,,,,,,,,,sub-214,1.0,random_dot,60.08376879045064,
right,right,,7.0,1.0,15.0,1.0,,,,,,,,,75.08200099999999,,,,,,,,,75.06649970000012,75.88123799999994,76.68093479999993,76.66426139999999,76.66427520000002,76.68093479999993,76.68093479999993,76.68093479999993,,79.5452170000001,right,1.0,17.04316959999983,,79.54546269999992,79.56105700000012,80.06061560000012,80.04463039999996,,,,,,,,,,,,,,,,,,,,,,,,sub-214,1.0,random_dot,60.08376879045064,
right,right,,8.0,0.0,16.0,1.0,,,,,,,,,80.06061560000012,,,,,,,,,80.0449473000001,80.16059309999991,80.96028430000001,80.94384749999995,80.94387189999998,80.96028430000001,80.96028430000001,80.96028430000001,,83.72516919999998,right,1.0,16.942607199999884,,83.7256824000001,83.7405976,84.24015209999993,84.22411480000005,,,,,,,,,,,,,,,,,,,,,,,,sub-214,1.0,random_dot,60.08376879045064,
left,left,,8.0,1.0,17.0,0.0,,,,,,,,,84.24015209999993,,,,,,,,,84.22451449999994,84.5895895000001,85.38929180000014,85.37244320000013,85.37245680000001,85.38929180000014,85.38929180000014,85.38929180000014,,87.74700940000002,left,1.0,16.530655999999908,,87.74764120000009,87.75331600000004,88.25279879999994,88.23639159999993,,,,,,,,,,,,,,,,,,,,,,,,sub-214,1.0,random_dot,60.08376879045064,
right,right,,9.0,0.0,18.0,1.0,,,,,,,,,88.25279879999994,,,,,,,,,88.23663510000006,89.45190359999992,90.25142320000008,90.2347698000001,90.23479300000008,90.25142320000008,90.25142320000008,90.25142320000008,,92.1501816,right,1.0,16.072334199999887,,92.1505092,92.166017,92.66542630000004,92.64931460000004,,,,,,,,,,,,,,,,,,,,,,,,sub-214,1.0,random_dot,60.08376879045064,
left,left,,9.0,1.0,19.0,0.0,,,,,,,,,92.66542630000004,,,,,,,,,92.6497551,92.7652680000001,93.56511870000008,93.54875680000008,93.54878069999997,93.56511870000008,93.56511870000008,93.56511870000008,,96.04735440000012,left,1.0,16.660862700000052,,96.04787239999996,96.06237880000003,96.5617052,96.54554540000004,,,,,,,,,,,,,,,,,,,,,,,,sub-214,1.0,random_dot,60.08376879045064,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.54558029999998,96.5617052,96.5617052,99.36053990000003,space,16.968586799999912,,,,,,,,,,,,,,,,,,sub-214,1.0,random_dot,60.08376879045064,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.36058159999992,99.37613400000008,99.37613400000008,105.22128199999996,space,20.02885330000004,,,,,,,,,,,sub-214,1.0,random_dot,60.08376879045064,
right,right,accuracy,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,109.84946059999992,,,,,,,,,109.83944910000014,110.19895760000009,110.99871150000013,110.98191930000009,110.98193340000012,110.99871150000013,110.99871150000013,110.99871150000013,,112.43207899999992,right,1.0,15.61761239999987,,,,,,,,,,,,,,,,,,,,105.22340250000002,105.2368391,105.2368391,109.83337389999996,space,18.773802199999864,,,,sub-214,1.0,random_dot,60.08376879045064,
left,left,accuracy,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,112.44668550000006,,,,,,,,,112.43263990000014,113.24661190000006,114.0624315,114.04562119999991,114.04563550000012,114.0624315,114.0624315,114.0624315,,116.77726740000004,left,1.0,16.898332400000072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-214,1.0,random_dot,60.08376879045064,
left,left,accuracy,,,,,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,116.79271110000012,,,,,,,,,116.77772159999996,117.14232659999992,117.94198959999994,117.92541619999996,117.9254277,117.94198959999994,117.94198959999994,117.94198959999994,,122.07206810000002,right,0.0,18.303058100000044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-214,1.0,random_dot,60.08376879045064,
right,right,accuracy,,,,,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,122.08759110000004,,,,,,,,,122.07260689999998,123.28654630000004,124.08613960000002,124.06935560000012,124.06937089999995,124.08613960000002,124.08613960000002,124.08613960000002,,127.46780190000004,right,1.0,17.56292029999986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-214,1.0,random_dot,60.08376879045064,
left,left,accuracy,,,,,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,127.48290880000012,,,,,,,,,127.46877530000006,127.58291789999998,128.38251420000006,128.3661876000001,128.36621609999997,128.38251420000006,128.38251420000006,128.38251420000006,,130.14853930000004,left,1.0,15.949888999999756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-214,1.0,random_dot,60.08376879045064,
right,right,accuracy,,,,,0.0,0.0,0.0,0.0,2.0,1.0,5.0,1.0,130.16368669999997,,,,,,,,,130.14894049999998,131.36282570000003,132.16232489999993,132.14563220000014,132.14564360000008,132.16232489999993,132.16232489999993,132.16232489999993,,134.44495269999993,right,1.0,16.455774299999803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-214,1.0,random_dot,60.08376879045064,
right,right,accuracy,,,,,0.0,0.0,0.0,0.0,3.0,0.0,6.0,1.0,134.45987790000004,,,,,,,,,134.44624629999998,134.8093662000001,135.60910020000006,135.59240849999992,135.59242089999998,135.60910020000006,135.60910020000006,135.60910020000006,,139.18977070000005,left,0.0,17.754776300000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-214,1.0,random_dot,60.08376879045064,
left,left,accuracy,,,,,0.0,0.0,0.0,0.0,3.0,1.0,7.0,0.0,139.20538890000012,,,,,,,,,139.1902195,140.40415669999993,141.2038950000001,141.18758709999997,141.18761519999998,141.2038950000001,141.2038950000001,141.2038950000001,,144.36895600000005,left,1.0,17.337771199999906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-214,1.0,random_dot,60.08376879045064,
left,left,accuracy,,,,,0.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,144.3838601,,,,,,,,,144.3702263,145.5827709,146.38258689999998,146.3661244,146.3661552000001,146.38258689999998,146.38258689999998,146.38258689999998,151.3777424,152.3617799000001,right,0.0,20.15307839999969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-214,1.0,random_dot,60.08376879045064,
right,right,accuracy,,,,,0.0,0.0,0.0,0.0,4.0,1.0,9.0,1.0,152.37636390000011,,,,,,,,,152.36295910000013,152.47630129999993,153.27588360000004,153.2597263,153.25975919999996,153.27588360000004,153.27588360000004,153.27588360000004,,154.84264929999995,right,1.0,15.746647299999722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-214,1.0,random_dot,60.08376879045064,
left,left,accuracy,,,,,0.0,0.0,0.0,0.0,5.0,0.0,10.0,0.0,154.8573851000001,,,,,,,,,154.8439006000001,156.05624850000004,156.85597660000008,156.8395958000001,156.83962420000012,156.85597660000008,156.85597660000008,156.85597660000008,,160.5863554,left,1.0,17.914689499999895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-214,1.0,random_dot,60.08376879045064,
right,right,accuracy,,,,,0.0,0.0,0.0,0.0,5.0,1.0,11.0,1.0,160.6017163000001,,,,,,,,,160.58683429999996,161.40100669999993,162.20082500000012,162.18403560000002,162.1840611,162.20082500000012,162.20082500000012,162.20082500000012,,164.91606449999995,right,1.0,16.895974099999876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-214,1.0,random_dot,60.08376879045064,
right,right,accuracy,,,,,0.0,0.0,0.0,0.0,6.0,0.0,12.0,1.0,164.93114650000007,,,,,,,,,164.91727289999994,166.12973030000012,166.9298530000001,166.9130857,166.91309720000004,166.9298530000001,166.9298530000001,166.9298530000001,,170.51107960000013,left,0.0,17.76524019999988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-214,1.0,random_dot,60.08376879045064,
left,left,accuracy,,,,,0.0,0.0,0.0,0.0,6.0,1.0,13.0,0.0,170.52610329999993,,,,,,,,,170.51168559999996,171.72492089999992,172.5242624,172.50792339999998,172.50794700000006,172.5242624,172.5242624,172.5242624,,174.45670050000012,left,1.0,16.106117499999982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-214,1.0,random_dot,60.08376879045064,
left,left,accuracy,,,,,0.0,0.0,0.0,0.0,7.0,0.0,14.0,0.0,174.47204749999992,,,,,,,,,174.45770310000012,175.67103909999992,176.47090619999994,176.4543404000001,176.45436930000005,176.47090619999994,176.47090619999994,176.47090619999994,,179.28593780000006,left,1.0,16.98457189999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-214,1.0,random_dot,60.08376879045064,
right,right,accuracy,,,,,0.0,0.0,0.0,0.0,7.0,1.0,15.0,1.0,179.30126629999995,,,,,,,,,179.28720380000004,180.5000354000001,181.2996088,181.2831649,181.2831767,181.2996088,181.2996088,181.2996088,,186.24532010000007,right,1.0,19.12135309999985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-214,1.0,random_dot,60.08376879045064,
left,left,accuracy,,,,,0.0,0.0,0.0,0.0,8.0,0.0,16.0,0.0,186.2610015,,,,,,,,,186.2458073,186.3609989000001,187.16095599999997,187.1447574000001,187.14479069999996,187.16095599999997,187.16095599999997,187.16095599999997,,190.65785039999992,right,0.0,17.6721364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-214,1.0,random_dot,60.08376879045064,
right,right,accuracy,,,,,0.0,0.0,0.0,0.0,8.0,1.0,17.0,1.0,190.67354849999992,,,,,,,,,190.6583726000001,191.87290510000005,192.6725281000001,192.65672700000005,192.65677060000007,192.6725281000001,192.6725281000001,192.6725281000001,,197.618248,right,1.0,19.1166738999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-214,1.0,random_dot,60.08376879045064,
left,left,accuracy,,,,,0.0,0.0,0.0,0.0,9.0,0.0,18.0,0.0,197.63410649999992,,,,,,,,,197.6187374000001,198.43334830000003,199.2326829000001,199.21630170000003,199.2163256000001,199.2326829000001,199.2326829000001,199.2326829000001,,202.19846140000004,left,1.0,17.13886269999989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-214,1.0,random_dot,60.08376879045064,
right,right,accuracy,,,,,0.0,0.0,0.0,0.0,9.0,1.0,19.0,1.0,202.21312510000007,,,,,,,,,202.1996772,202.56276619999997,203.37893469999997,203.36219290000008,203.3622084000001,203.37893469999997,203.37893469999997,203.37893469999997,,207.3425763,right,1.0,18.142523899999787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-214,1.0,random_dot,60.08376879045064,
right,right,accuracy,,,,,0.0,0.0,0.0,0.0,10.0,0.0,20.0,1.0,207.3581934000001,,,,,,,,,207.34303720000003,207.70774210000013,208.507337,208.49058160000004,208.49059609999995,208.507337,208.507337,208.507337,213.5029902000001,214.62032810000005,right,1.0,20.294097499999907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-214,1.0,random_dot,60.08376879045064,
left,left,accuracy,,,,,0.0,0.0,0.0,0.0,10.0,1.0,21.0,0.0,214.6349788,,,,,,,,,214.6215690000001,215.8338569,216.64981110000008,216.63317759999995,216.6332,216.64981110000008,216.64981110000008,216.64981110000008,,219.78209760000004,left,1.0,17.302072799999905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-214,1.0,random_dot,60.08376879045064,
right,right,accuracy,,,,,0.0,0.0,0.0,0.0,11.0,0.0,22.0,1.0,219.7965854000001,,,,,,,,,219.78342300000008,219.89672339999996,220.71247599999992,220.6960143000001,220.6960379,220.71247599999992,220.71247599999992,220.71247599999992,,222.7962569000001,left,0.0,16.258181199999854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-214,1.0,random_dot,60.08376879045064,
